ticker,company name,sector,sub-industry,date first added
O,Realty Income Corporation,Real Estate,Retail REITs,2015-04-07
REG,Regency Centers Corporation,Real Estate,Retail REITs,2017-03-02
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,2013-05-01
RF,Regions Financial Corp.,Financials,Regional Banks,1998-08-28
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,2008-12-05
RMD,ResMed,Health Care,Health Care Equipment,2017-07-26
RHI,Robert Half International,Industrials,Human Resource & Employment Services,2000-12-05
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2018-10-01
ROP,Roper Technologies,Industrials,Industrial Conglomerates,2009-12-23
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,2009-12-21
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2014-12-05
SPGI,S&P Global Inc.,Financials,Financial Exchanges & Data,
CRM,Salesforce.com,Information Technology,Application Software,2008-09-15
SBAC,SBA Communications,Real Estate,Specialized REITs,2017-09-01
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,1965-03-31
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2012-07-02
SEE,Sealed Air,Materials,Paper Packaging,1957-03-04
SRE,Sempra Energy,Utilities,Multi-Utilities,
NOW,ServiceNow,Information Technology,Systems Software,2019-11-21
SHW,Sherwin-Williams,Materials,Specialty Chemicals,1964-06-30
SPG,Simon Property Group Inc,Real Estate,Retail REITs,2002-06-26
SWKS,Skyworks Solutions,Information Technology,Semiconductors,2015-03-12
SLG,SL Green Realty,Real Estate,Office REITs,2015-03-20
SNA,Snap-on,Industrials,Industrial Machinery,1982-09-30
SO,Southern Company,Utilities,Electric Utilities,1957-03-04
LUV,Southwest Airlines,Industrials,Airlines,1994-07-01
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,1982-09-30
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,
STT,State Street Corp.,Financials,Asset Management & Custody Banks,
STE,STERIS plc,Health Care,Health Care Equipment,2019-12-23
SYK,Stryker Corp.,Health Care,Health Care Equipment,2000-12-12
SIVB,SVB Financial,Financials,Regional Banks,2018-03-19
SYF,Synchrony Financial,Financials,Consumer Finance,2015-11-18
SNPS,Synopsys Inc.,Information Technology,Application Software,2017-03-16
SYY,Sysco Corp.,Consumer Staples,Food Distributors,1986-12-31
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2019-07-15
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,2018-03-19
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","
"
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,1976-12-31
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,2011-10-17
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,2009-06-05
TDY,Teledyne Technologies,Industrials,Aerospace & Defense,2020-06-22
TFX,Teleflex,Health Care,Health Care Equipment,2019-01-18
TER,Teradyne,Information Technology,Semiconductor Equipment,2020-09-21
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,2020-12-21
TXN,Texas Instruments,Information Technology,Semiconductors,
TXT,Textron Inc.,Industrials,Aerospace & Defense,1978-12-31
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2000-06-21
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,1985-09-30
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,2014-01-24
TT,Trane Technologies plc,Industrials,Building Products,2010-11-17
TDG,TransDigm Group,Industrials,Aerospace & Defense,2016-06-03
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,2002-08-21
TFC,Truist Financial,Financials,Regional Banks,1997-12-04
TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,2018-06-07
TYL,Tyler Technologies,Information Technology,Application Software,2020-06-22
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,
UDR,"UDR, Inc.",Real Estate,Residential REITs,2016-03-07
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,2016-04-18
USB,U.S. Bancorp,Financials,Diversified Banks,
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2014-05-01
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2016-04-08
UNP,Union Pacific Corp,Industrials,Railroads,1957-03-04
UAL,United Airlines Holdings,Industrials,Airlines,2015-09-03
UNH,UnitedHealth Group Inc.,Health Care,Managed Health Care,1994-07-01
UPS,United Parcel Service,Industrials,Air Freight & Logistics,2002-07-22
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,2014-09-20
UHS,Universal Health Services,Health Care,Health Care Facilities,2014-09-20
UNM,Unum Group,Financials,Life & Health Insurance,1994-03-01
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,
VAR,Varian Medical Systems,Health Care,Health Care Equipment,2007-02-12
VTR,Ventas Inc,Real Estate,Health Care REITs,2009-03-04
VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,2006-02-01
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,2015-10-08
VZ,Verizon Communications,"Communication Services
",Integrated Telecommunication Services,1983-11-30
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,2013-09-23
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1979-06-30
VIAC,ViacomCBS,Communication Services,Movies & Entertainment,
VTRS,Viatris,Health Care,Pharmaceuticals,2004-04-23
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,2009-12-21
VNT,Vontier,Information Technology,Electronic Equipment & Instruments,2020-10-09
VNO,Vornado Realty Trust,Real Estate,Office REITs,
VMC,Vulcan Materials,Materials,Construction Materials,1999-06-30
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2019-12-05
WAB,Westinghouse Air Brake Technologies Corp,Industrials,Construction Machinery & Heavy Trucks,2019-02-27
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,1982-08-31
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1979-12-31
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,1976-06-30
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,
WAT,Waters Corporation,Health Care,Health Care Distributors,
WEC,WEC Energy Group,Utilities,Electric Utilities,2008-10-31
WFC,Wells Fargo,Financials,Diversified Banks,1976-06-30
WELL,Welltower Inc.,Real Estate,Health Care REITs,2009-01-30
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,2020-05-22
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",2009-07-01
WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,2006-09-29
WRK,WestRock,Materials,Paper Packaging,
WY,Weyerhaeuser,Real Estate,Specialized REITs,
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1975-03-31
WLTW,Willis Towers Watson,Financials,Insurance Brokers,2016-01-05
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,2008-11-14
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,1957-03-04
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",
XLNX,Xilinx,Information Technology,Semiconductors,1999-11-08
XYL,Xylem Inc.,Industrials,Industrial Machinery,2011-11-01
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,1997-10-06
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,2019-12-23
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,2001-08-07
ZION,Zions Bancorp,Financials,Regional Banks,2001-06-22
ZTS,Zoetis,Health Care,Pharmaceuticals,2013-06-21
